Cond 	 Score	LengthClusterValidationOutput	LengthRankValidationOutput	GeneMergeValidationOutput	DuplicationValidationOutput	AlignmentValidationOutput
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	25	false	false	true	false	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	true	true	true	false	false
amel_OGSv1.0_pep.fa.	50	false	false	true	false	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	63	false	true	true	false	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	false	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	25	false	false	true	false	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	false	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	0	false	false	false	false	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	25	false	false	false	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	63	true	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	75	true	true	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	false	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	88	false	true	true	true	true
amel_OGSv1.0_pep.fa.	63	false	true	true	true	false
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	75	false	false	true	true	true
amel_OGSv1.0_pep.fa.	38	false	true	true	false	false
amel_OGSv1.0_pep.fa.	88	true	false	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	75	true	true	true	false	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
amel_OGSv1.0_pep.fa.	100	true	true	true	true	true
amel_OGSv1.0_pep.fa.	50	false	false	true	true	false
